Date, Obama, ObamaCare, ObamaAbortion, ObamaEconomy, ObamaHealthcare, Romney, RomneyAbortion, RomneyEconomy, RomneyHealthcare
10-Aug-11,547388,212397,10881,31647,10491,809741,9681,11456,4831
11-Aug-11,551699,212378,10793,31083,10722,806274,9675,10972,4909
12-Aug-11,527302,211872,10982,31226,10615,809043,9666,11202,4877
13-Aug-11,538362,211452,10849,31696,10490,807087,9578,11321,4904
14-Aug-11,533867,211479,10860,31057,10247,805668,9631,11256,4870
15-Aug-11,533934,211171,10729,30744,10584,805478,9548,11373,4851
16-Aug-11,532489,210875,10896,30722,10319,804703,9567,11555,4881
17-Aug-11,521224,211067,10817,30640,10310,803553,9520,11483,4871
18-Aug-11,526906,210264,10741,30785,10483,806168,9555,11172,4821
19-Aug-11,525083,210203,10866,30429,10216,806683,9615,11203,4844
20-Aug-11,524736,210460,10812,30846,10233,806245,9601,11285,4856
21-Aug-11,521248,210136,10760,31086,10309,804302,9624,11299,4876
22-Aug-11,511419,209906,10871,30059,10390,804775,9516,11319,4901
23-Aug-11,519593,209930,10747,30550,10432,802033,9598,11205,4851
24-Aug-11,520953,210085,10835,30129,10265,802489,9513,11329,4883
25-Aug-11,517636,209515,10851,29782,10164,804327,9588,11230,4827
26-Aug-11,521910,209550,10666,30302,10396,801400,9564,11167,4809
27-Aug-11,523420,209886,10769,30899,10396,802582,9489,11300,4863
28-Aug-11,514439,209647,10713,30411,10309,801138,9481,11400,4869
29-Aug-11,516936,209351,10736,30041,10405,801864,9565,11116,4823
30-Aug-11,508629,209270,10702,30402,10262,801957,9554,11393,4816
31-Aug-11,518561,209172,10710,30071,10179,802226,9487,11332,4831
1-Sep-11,503789,209218,10551,30024,10291,802447,9497,11318,4811
2-Sep-11,519061,209094,10704,29207,10127,800354,9490,11169,4813
3-Sep-11,517428,209064,10629,29660,10311,801645,9478,11267,4811
4-Sep-11,505324,208891,10528,29115,10026,801904,9540,11430,4849
5-Sep-11,503602,208747,10634,29377,10129,802288,9571,11282,4810
6-Sep-11,507001,208777,10617,29282,10189,797986,9464,11225,4811
7-Sep-11,500567,208188,10663,29134,10468,798290,9555,11076,4842
8-Sep-11,504044,207971,10687,28699,10152,796707,9478,11216,4853
9-Sep-11,506391,207820,10652,29459,9993,795306,9457,11222,4806
10-Sep-11,505217,207593,10589,28591,10214,796603,9569,11317,4794
11-Sep-11,498014,207641,10656,29407,10101,796642,9487,11133,4766
12-Sep-11,501415,207575,10650,28776,10244,795410,9478,11204,4780
13-Sep-11,503436,204568,10673,28476,10320,796757,9510,11189,4756
14-Sep-11,505687,207094,10376,28790,10192,793133,9458,11136,4635
