Date,Open,Low,High,Close,Volume,movAvg50,movAvg100,movAvg200
6-Dec-10,50.1,50.1,50.1,50.1,1,NaN,NaN,NaN
7-Dec-10,50.1,50.1,50.1,50.1,0,NaN,NaN,NaN
8-Dec-10,50,50,50,50,5,NaN,NaN,NaN
9-Dec-10,50,50,50,50,0,NaN,NaN,NaN
10-Dec-10,50,50,50,50,0,NaN,NaN,NaN
11-Dec-10,50,50,50,50,0,NaN,NaN,NaN
12-Dec-10,50,50,50,50,0,NaN,NaN,NaN
13-Dec-10,50,50,50,50,0,NaN,NaN,NaN
14-Dec-10,50,50,50,50,0,NaN,NaN,NaN
15-Dec-10,55,55,55,55,67,NaN,NaN,NaN
16-Dec-10,55,55,55,55,0,NaN,NaN,NaN
17-Dec-10,55,55,55,55,0,NaN,NaN,NaN
18-Dec-10,55,54.5,55,55,4,NaN,NaN,NaN
19-Dec-10,55,55,55,55,0,NaN,NaN,NaN
20-Dec-10,55,55,55,55,31,NaN,NaN,NaN
21-Dec-10,55,55,55,55,0,NaN,NaN,NaN
22-Dec-10,55,55,55,55,0,NaN,NaN,NaN
23-Dec-10,54.9,54.9,55,55,20,NaN,NaN,NaN
24-Dec-10,55,55,55,55,0,NaN,NaN,NaN
25-Dec-10,55,54.9,55,55,80,NaN,NaN,NaN
26-Dec-10,55,55,55,55,0,NaN,NaN,NaN
27-Dec-10,55,55,55,55,0,NaN,NaN,NaN
28-Dec-10,55,55,55,55,0,NaN,NaN,NaN
29-Dec-10,55,55,55,55,0,NaN,NaN,NaN
30-Dec-10,55,55,55,55,0,NaN,NaN,NaN
31-Dec-10,55,54.9,55,55,103,NaN,NaN,NaN
1-Jan-11,55,55,55,55,0,NaN,NaN,NaN
2-Jan-11,55,55,55,55,0,NaN,NaN,NaN
3-Jan-11,56,55.9,56,56,101,NaN,NaN,NaN
4-Jan-11,57,57,57,57,100,NaN,NaN,NaN
5-Jan-11,56.1,56.1,56.6,56.1,15,NaN,NaN,NaN
6-Jan-11,56.1,56.1,56.1,56.1,0,NaN,NaN,NaN
7-Jan-11,56.1,56.1,56.1,56.1,0,NaN,NaN,NaN
8-Jan-11,57.9,57.9,57.9,57.9,10,NaN,NaN,NaN
9-Jan-11,58,57.9,58,58,110,NaN,NaN,NaN
10-Jan-11,58,58,58,58,0,NaN,NaN,NaN
11-Jan-11,58,58,58,58,0,NaN,NaN,NaN
12-Jan-11,58,58,58,58,0,NaN,NaN,NaN
13-Jan-11,58,58,58,58,0,NaN,NaN,NaN
14-Jan-11,58.9,58.9,58.9,58.9,20,NaN,NaN,NaN
15-Jan-11,58.9,58.9,58.9,58.9,0,NaN,NaN,NaN
16-Jan-11,58.9,58.9,58.9,58.9,0,NaN,NaN,NaN
17-Jan-11,58.9,58.9,58.9,58.9,0,NaN,NaN,NaN
18-Jan-11,58.9,58.9,58.9,58.9,0,NaN,NaN,NaN
19-Jan-11,58.9,58.9,58.9,58.9,0,NaN,NaN,NaN
20-Jan-11,58.9,56.6,58.9,56.6,110,NaN,NaN,NaN
21-Jan-11,59.9,59.9,59.9,59.9,10,NaN,NaN,NaN
22-Jan-11,59.9,59.9,59.9,59.9,0,NaN,NaN,NaN
23-Jan-11,59.9,59.9,59.9,59.9,0,NaN,NaN,NaN
24-Jan-11,62.1,62.1,62.1,62.1,10,55.524,NaN,NaN
25-Jan-11,62.1,62.1,62.1,62.1,0,55.764,NaN,NaN
26-Jan-11,62,62,62,62,1,56.002,NaN,NaN
27-Jan-11,62,62,62,62,0,56.242,NaN,NaN
28-Jan-11,62,62,62,62,0,56.482,NaN,NaN
29-Jan-11,62,58.2,62.2,62.2,15,56.726,NaN,NaN
30-Jan-11,62.2,62.2,62.2,62.2,0,56.97,NaN,NaN
31-Jan-11,62.2,62.2,62.2,62.2,29,57.214,NaN,NaN
1-Feb-11,62.2,62.2,62.2,62.2,0,57.458,NaN,NaN
2-Feb-11,60,60,60,60,1,57.658,NaN,NaN
3-Feb-11,60,60,60,60,0,57.758,NaN,NaN
4-Feb-11,60,60,60,60,0,57.858,NaN,NaN
5-Feb-11,61,61,61,61,1,57.978,NaN,NaN
6-Feb-11,61,61,61,61,0,58.098,NaN,NaN
7-Feb-11,61,61,61,61,0,58.218,NaN,NaN
8-Feb-11,61,61,61,61,0,58.338,NaN,NaN
9-Feb-11,61,61,61,61,0,58.458,NaN,NaN
10-Feb-11,60.1,59.8,60.2,59.8,20,58.554,NaN,NaN
11-Feb-11,59.8,59.8,59.8,59.8,0,58.65,NaN,NaN
12-Feb-11,59.4,59.4,59.4,59.4,5,58.738,NaN,NaN
13-Feb-11,59.4,59.4,59.4,59.4,0,58.826,NaN,NaN
14-Feb-11,59.4,59.4,59.4,59.4,0,58.914,NaN,NaN
15-Feb-11,59.4,59.4,59.4,59.4,0,59.002,NaN,NaN
16-Feb-11,60,60,60,60,6,59.102,NaN,NaN
17-Feb-11,60,60,60,60,0,59.202,NaN,NaN
18-Feb-11,60,60,60,60,0,59.302,NaN,NaN
19-Feb-11,60,60,60,60,0,59.402,NaN,NaN
20-Feb-11,60,60,60,60,0,59.502,NaN,NaN
21-Feb-11,60,60,60,60,0,59.602,NaN,NaN
22-Feb-11,60,60,60,60,0,59.682,NaN,NaN
23-Feb-11,60,60,60,60,0,59.742,NaN,NaN
24-Feb-11,64.8,60.6,64.8,64.8,100,59.916,NaN,NaN
25-Feb-11,63.8,63.8,63.8,63.8,1,60.07,NaN,NaN
26-Feb-11,63.8,63.8,63.8,63.8,0,60.224,NaN,NaN
27-Feb-11,63.8,63.8,63.8,63.8,0,60.342,NaN,NaN
28-Feb-11,63.8,63.8,63.8,63.8,0,60.458,NaN,NaN
