Date,Close,Volume,movAvg50,movAvg100,movAvg200
18-Feb-12,59.8,385,54.64,52.81,51.2085
19-Feb-12,59.4,1162,54.79,52.901,51.2255
20-Feb-12,59.5,346,54.942,52.973,51.2425
21-Feb-12,59.4,724,55.09,53.05,51.2625
22-Feb-12,59.5,1192,55.252,53.131,51.29
23-Feb-12,60.2,3701,55.43,53.218,51.3275
24-Feb-12,60.5,949,55.612,53.308,51.367
25-Feb-12,60.6,1866,55.784,53.402,51.417
26-Feb-12,61,198,55.976,53.502,51.471
27-Feb-12,60.3,272,56.178,53.6,51.5195
28-Feb-12,61,2443,56.378,53.701,51.5735
29-Feb-12,60.1,3738,56.542,53.793,51.6245
1-Mar-12,60.9,609,56.75,53.893,51.6815
2-Mar-12,59.8,2388,56.926,53.981,51.728
3-Mar-12,60,493,57.1,54.077,51.768
4-Mar-12,60.1,2210,57.28,54.171,51.811
5-Mar-12,59.5,667,57.442,54.262,51.8515
6-Mar-12,60.2,1139,57.608,54.36,51.8985
7-Mar-12,60,2611,57.774,54.451,51.956
8-Mar-12,60.4,1390,57.944,54.551,52.0155
9-Mar-12,61,1843,58.126,54.656,52.0735
10-Mar-12,61,816,58.308,54.762,52.1235
11-Mar-12,61.2,382,58.464,54.869,52.1775
12-Mar-12,61.4,914,58.594,54.975,52.2325
13-Mar-12,60.3,628,58.682,55.077,52.279
14-Mar-12,60.2,2334,58.788,55.178,52.321
15-Mar-12,61.2,2372,58.894,55.286,52.3725
16-Mar-12,60.5,517,59.004,55.387,52.42
17-Mar-12,59.9,374,59.102,55.482,52.4625
18-Mar-12,60.5,402,59.232,55.584,52.508
19-Mar-12,59.7,235,59.33,55.681,52.5515
20-Mar-12,59.5,1025,59.432,55.775,52.5995
21-Mar-12,60.1,819,59.554,55.873,52.6485
22-Mar-12,60.3,894,59.664,55.975,52.702
23-Mar-12,59.9,869,59.754,56.055,52.757
24-Mar-12,60.3,1067,59.848,56.146,52.8125
25-Mar-12,59.9,934,59.916,56.23,52.8645
26-Mar-12,60,1311,59.984,56.32,52.9115
27-Mar-12,59.7,1477,60.04,56.407,52.962
28-Mar-12,59.5,1472,60.07,56.488,53.0095
29-Mar-12,60,792,60.086,56.579,53.0595
30-Mar-12,60.4,854,60.08,56.674,53.1125
31-Mar-12,60.2,889,60.084,56.761,53.163
1-Apr-12,60.8,589,60.124,56.85,53.218
2-Apr-12,60.8,782,60.16,56.945,53.2715
3-Apr-12,60.4,407,60.178,57.03,53.319
4-Apr-12,60.8,2103,60.2,57.118,53.373
5-Apr-12,60.7,1927,60.216,57.206,53.4265
6-Apr-12,60.3,2166,60.218,57.289,53.478
7-Apr-12,60.7,1327,60.268,57.376,53.533
8-Apr-12,60.3,318,60.278,57.459,53.5865
9-Apr-12,60.3,271,60.296,57.543,53.643
10-Apr-12,60.6,623,60.318,57.63,53.703
11-Apr-12,60.7,6143,60.344,57.717,53.7685
12-Apr-12,60.7,3973,60.368,57.81,53.829
13-Apr-12,60.8,958,60.38,57.905,53.8905
14-Apr-12,60.7,1241,60.384,57.998,53.9565
15-Apr-12,60.9,379,60.39,58.087,54.024
16-Apr-12,61.4,1696,60.398,58.187,54.0945
17-Apr-12,61.2,1504,60.416,58.297,54.168
18-Apr-12,60.8,4958,60.412,58.395,54.2325
19-Apr-12,60.5,2309,60.42,58.481,54.297
20-Apr-12,60.4,2118,60.41,58.58,54.362
21-Apr-12,60.1,1006,60.416,58.671,54.43
22-Apr-12,60.3,714,60.422,58.761,54.4965
23-Apr-12,59.8,268,60.416,58.848,54.5605
24-Apr-12,59.7,2306,60.42,58.931,54.619
25-Apr-12,60.2,2735,60.42,59.014,54.684
26-Apr-12,60.3,1069,60.426,59.1,54.7475
27-Apr-12,60.2,1038,60.422,59.183,54.811
28-Apr-12,59.7,1793,60.396,59.261,54.865
29-Apr-12,59.6,1829,60.368,59.338,54.928
30-Apr-12,59.7,1353,60.338,59.401,54.988
1-May-12,59.9,965,60.308,59.451,55.045
2-May-12,59.9,679,60.3,59.491,55.106
3-May-12,59.8,1547,60.292,59.54,55.1725
4-May-12,59.7,801,60.262,59.578,55.2345
5-May-12,59.5,1599,60.242,59.623,55.2925
6-May-12,59.7,434,60.238,59.67,55.349
7-May-12,60,1087,60.228,59.73,55.4065
8-May-12,59.6,1670,60.226,59.778,55.459
9-May-12,59.2,1279,60.22,59.826,55.51
10-May-12,59.7,1155,60.212,59.883,55.5655
11-May-12,59.2,1368,60.19,59.927,55.616
12-May-12,58.5,2014,60.162,59.958,55.6645
13-May-12,59.3,317,60.142,59.995,55.7175
14-May-12,58.9,1021,60.122,60.019,55.769
15-May-12,59.1,537,60.104,60.044,55.8145
16-May-12,57.3,3086,60.056,60.048,55.855
17-May-12,58.4,1083,60.034,60.052,55.901
18-May-12,58,957,59.994,60.04,55.945
19-May-12,57,2184,59.926,60.003,55.983
20-May-12,56.8,1170,59.858,59.971,56.0175
21-May-12,56,1399,59.762,59.943,56.0475
22-May-12,56,3537,59.666,59.913,56.0775
23-May-12,58.7,2979,59.632,59.905,56.121
24-May-12,58.7,3488,59.59,59.895,56.1645
25-May-12,57.9,2601,59.534,59.875,56.205
26-May-12,57.9,1848,59.486,59.852,56.2455
27-May-12,57.5,340,59.422,59.845,56.283
28-May-12,57.6,504,59.368,59.823,56.3165
29-May-12,58.1,1419,59.324,59.81,56.3555
30-May-12,57.6,2855,59.264,59.791,56.382
31-May-12,57.7,1991,59.204,59.774,56.412
1-Jun-12,56.6,3021,59.122,59.745,56.438
2-Jun-12,54.1,7927,58.988,59.684,56.451
3-Jun-12,53.2,2774,58.838,59.611,56.4595
4-Jun-12,53.3,1812,58.686,59.538,56.47
5-Jun-12,53.5,1091,58.528,59.463,56.4825
6-Jun-12,52.3,7206,58.35,59.383,56.4915
7-Jun-12,52.6,2909,58.186,59.299,56.5
8-Jun-12,53.3,2910,58.042,59.231,56.512
9-Jun-12,53.6,1320,57.906,59.158,56.5255
10-Jun-12,53.5,430,57.774,59.095,56.538
11-Jun-12,53.3,305,57.634,59.028,56.5525
12-Jun-12,53.6,1256,57.51,58.963,56.567
13-Jun-12,52.8,3644,57.372,58.896,56.579
14-Jun-12,52.9,2018,57.226,58.823,56.5915
15-Jun-12,52.9,899,57.078,58.752,56.6015
16-Jun-12,52.8,1838,56.93,58.676,56.6135
17-Jun-12,52.7,1148,56.79,58.593,56.6245
