month,day,year,hour,Onegative,Opositivve,Oprobability
9,13,2012,0,20,60,0.75
9,13,2012,1,22,70,0.760869565
9,13,2012,2,14,74,0.840909091
9,13,2012,3,10,53,0.841269841
9,13,2012,4,18,37,0.672727273
9,13,2012,5,22,40,0.64516129
9,13,2012,6,13,30,0.697674419
9,13,2012,9,3,10,0.769230769
9,13,2012,11,6,29,0.828571429
9,13,2012,12,10,31,0.756097561
9,13,2012,13,3,50,0.943396226
9,13,2012,14,9,36,0.8
9,13,2012,15,14,52,0.787878788
9,13,2012,16,9,46,0.836363636
9,13,2012,17,18,50,0.735294118
9,13,2012,18,18,58,0.763157895
9,13,2012,19,13,65,0.833333333
9,13,2012,20,8,52,0.866666667
9,13,2012,21,8,131,0.942446043
9,13,2012,22,6,62,0.911764706
9,13,2012,23,9,87,0.90625
