Date, Obama, ObamaCare, ObamaAbortion, ObamaEconomy, ObamaHealthcare
18-Feb-12,366894,179858,8526,22401,8068
19-Feb-12,359078,179646,8662,22214,8412
20-Feb-12,355733,179403,8630,22049,8362
21-Feb-12,344827,179178,8638,21782,8260
22-Feb-12,355691,178857,8725,21900,8272
23-Feb-12,354534,178364,8681,22134,8247
24-Feb-12,338427,178042,8590,21684,8216
25-Feb-12,355830,177793,8631,21554,8175
26-Feb-12,352749,177580,8602,21993,8242
27-Feb-12,347447,177265,8346,21978,8156
28-Feb-12,346219,176797,8263,21444,7960
29-Feb-12,331042,176329,8587,21559,7888
1-Mar-12,335004,175957,8704,21195,7801
2-Mar-12,345503,175734,8797,21310,7779
3-Mar-12,344495,175391,8695,21542,7757
4-Mar-12,345942,175179,8511,20898,7785
5-Mar-12,340562,174836,8727,21047,7337
6-Mar-12,337986,171915,8726,21231,7714
7-Mar-12,336447,171555,8251,20937,7724
8-Mar-12,335636,173841,8795,20834,7659
9-Mar-12,333060,165818,8822,20743,7639
10-Mar-12,326982,173216,8892,21285,7471
11-Mar-12,332270,173016,8932,20860,7611
12-Mar-12,335904,172600,9087,20499,7635
13-Mar-12,330323,172167,9098,21252,7614
14-Mar-12,333023,171450,9078,20994,7573
15-Mar-12,325371,170908,9034,20667,7698
16-Mar-12,319010,170310,9025,20291,7477
17-Mar-12,324129,169986,9042,20574,7454
18-Mar-12,320981,169728,8949,20655,7409
19-Mar-12,318988,169115,8950,20739,7476
20-Mar-12,301064,168386,8887,20338,7421
21-Mar-12,317228,167640,8962,20515,7341
22-Mar-12,315467,166818,9034,20168,7347
23-Mar-12,314113,165049,8948,20113,7287
24-Mar-12,316991,163785,9181,20052,7258
25-Mar-12,311845,162714,9252,20554,7161
26-Mar-12,309175,160217,9043,20215,6861
27-Mar-12,313106,157057,8931,19855,6873
28-Mar-12,306785,154627,9308,20117,6826
29-Mar-12,311434,151730,9206,20009,6580
30-Mar-12,304357,151304,9278,19799,6382
31-Mar-12,301130,153484,9309,19744,6547
1-Apr-12,307059,152749,9208,20590,6436
2-Apr-12,303326,151898,9220,20079,6487
3-Apr-12,303093,148469,9193,20035,6470
4-Apr-12,299743,149749,9114,19836,6454
5-Apr-12,301360,149417,9332,19978,6344
6-Apr-12,297844,144885,9421,20160,6453
7-Apr-12,297487,149699,9376,19627,6394
8-Apr-12,295397,149417,9334,19844,6498
9-Apr-12,296962,148947,9438,19230,6480
10-Apr-12,288127,148575,9431,19560,6543
11-Apr-12,299934,148345,9432,19417,6494
12-Apr-12,293056,148297,9430,18889,6357
13-Apr-12,291620,147919,9423,19117,6697
14-Apr-12,281335,147654,9489,19210,6547
15-Apr-12,284738,147370,9494,19057,6678
16-Apr-12,284946,147038,9499,19125,6594
17-Apr-12,281028,147037,9405,19043,6675
18-Apr-12,266153,144570,9434,18861,6958
19-Apr-12,281733,146325,9436,18474,6644
20-Apr-12,276229,143901,9375,18682,6939
21-Apr-12,261717,145711,9437,18298,6952
22-Apr-12,275094,145527,9376,18460,7139
23-Apr-12,268020,145187,9403,18224,7259
24-Apr-12,268698,145406,9333,17925,7565
25-Apr-12,269209,145071,9282,17772,7600
26-Apr-12,264167,144746,9282,17730,7953
27-Apr-12,265933,144389,8855,17942,7930
28-Apr-12,254766,144516,9272,17854,8015
29-Apr-12,263036,144361,9309,17706,8085
30-Apr-12,268898,144128,9098,17292,8162
1-May-12,266561,144433,8969,17556,8635
2-May-12,252531,144109,9350,17220,8941
3-May-12,245068,144021,9246,17332,8655
4-May-12,238409,143661,9071,17319,9169
5-May-12,247773,137057,9208,17182,8926
6-May-12,249451,143218,9247,16973,9082
7-May-12,245102,142904,9199,16971,9024
8-May-12,246326,142993,9264,17096,9334
9-May-12,241399,143056,9162,16530,9467
10-May-12,242937,143381,9144,16566,9712
11-May-12,238462,143112,9121,16550,10064
12-May-12,235414,143270,9086,16167,10230
13-May-12,230559,141538,9069,16451,9652
14-May-12,226982,143665,9039,16190,10246
15-May-12,227632,143291,9024,16015,10257
16-May-12,234332,143269,9025,16172,10127
17-May-12,224416,142816,8767,15536,10420
18-May-12,224253,142884,8923,15583,10228
19-May-12,221495,142704,8873,15511,10644
20-May-12,222566,142563,8782,15473,10517
21-May-12,217693,142387,8916,15521,10560
22-May-12,219539,142016,8703,14928,10585
23-May-12,218389,141659,8812,15081,10422
24-May-12,221797,141194,8860,14952,10775
25-May-12,216794,140885,8791,14658,10814
26-May-12,211717,140638,8661,15037,10709
27-May-12,211578,140434,8716,14221,10726
28-May-12,212921,140225,8788,14657,10959
29-May-12,209818,139929,8714,14811,10819
30-May-12,208378,139587,8712,14702,10644
31-May-12,205596,139226,8612,14829,10766
1-Jun-12,203728,139504,8570,13982,10893
2-Jun-12,203734,139286,8513,14061,11004
3-Jun-12,201739,139126,8449,14398,11009
4-Jun-12,197845,139086,8438,13999,10851
5-Jun-12,196773,139334,8397,13852,11143
6-Jun-12,199048,134559,8358,13679,10950
7-Jun-12,200839,138567,8262,13936,10948
8-Jun-12,190278,138077,8326,12591,10866
9-Jun-12,186270,137704,8284,12421,10961
10-Jun-12,193026,137404,8290,12280,10950
11-Jun-12,185913,132928,8264,12436,10873
12-Jun-12,187582,136375,8233,11914,10834
13-Jun-12,180802,136580,8197,11933,10997
14-Jun-12,181464,136059,8169,11251,10806
15-Jun-12,173793,135874,8174,10619,10757
16-Jun-12,179814,136193,8143,11211,10691
17-Jun-12,177855,135883,8084,10867,10902
18-Jun-12,172116,135249,8113,10966,10783
19-Jun-12,170310,134922,8086,10652,10731
20-Jun-12,172527,135436,8075,10382,10600
21-Jun-12,169143,134629,8016,10377,10662
22-Jun-12,169150,133831,7980,10382,10565
23-Jun-12,165494,133639,7987,10149,10500
24-Jun-12,160261,133037,7974,10152,10782
25-Jun-12,159770,131759,7958,9635,10468
26-Jun-12,169551,131564,7939,10125,10311
27-Jun-12,154788,130436,7867,10187,10136
28-Jun-12,159806,118539,7857,9867,8940
29-Jun-12,158144,104308,7846,9725,8148
30-Jun-12,155210,100492,7789,9596,7909
1-Jul-12,154067,97179,7791,9536,7783
2-Jul-12,154700,88310,7762,9685,7507
3-Jul-12,150144,88132,7761,9886,7312
4-Jul-12,150526,85676,7721,9764,7196
5-Jul-12,149510,83466,7751,9408,7103
6-Jul-12,148012,81224,7698,9481,6962
7-Jul-12,145586,79745,7662,9348,6635
8-Jul-12,145843,77247,7650,9175,6793
9-Jul-12,138982,76692,7636,8710,6724
10-Jul-12,142777,74519,7579,8688,6652
11-Jul-12,141844,71463,7557,8611,6545
12-Jul-12,141567,68607,7519,8490,6438
13-Jul-12,140998,64167,7477,8329,6367
14-Jul-12,132296,66188,7464,8129,6301
15-Jul-12,132106,65276,7458,8110,6217
16-Jul-12,130144,63320,7398,7839,6193
17-Jul-12,132919,62506,7362,7728,6199
18-Jul-12,119510,62707,7339,7663,6184
19-Jul-12,120229,61973,7316,7261,6162
20-Jul-12,122260,61413,7313,7272,6029
21-Jul-12,122288,61056,7294,7202,6118
22-Jul-12,119877,59809,7279,6824,6081
23-Jul-12,110399,60214,7264,7007,6029
24-Jul-12,112463,59681,7242,6692,6030
25-Jul-12,114757,57955,7215,6503,5957
26-Jul-12,113888,58217,7166,6669,5918
27-Jul-12,112954,57600,7134,6329,5935
28-Jul-12,109392,57009,7076,6560,5865
29-Jul-12,112355,54044,7049,6425,5882
30-Jul-12,110748,56018,7026,6446,5825
31-Jul-12,101438,53672,6997,7190,5771
1-Aug-12,101123,54548,6964,9326,5761
2-Aug-12,105806,53685,6946,11589,5719
3-Aug-12,102148,53137,6910,13238,5712
4-Aug-12,101349,52700,6678,14733,5519
5-Aug-12,96589,52384,6875,17015,5636
6-Aug-12,94832,51990,6830,17774,5613
7-Aug-12,96775,51430,6494,20191,5587
8-Aug-12,95446,50722,6754,21292,5528
9-Aug-12,91511,49888,6730,21981,5481
10-Aug-12,88556,46917,6686,22401,5421
11-Aug-12,88971,48407,6653,23858,5396
12-Aug-12,81324,47729,6613,24030,5358
13-Aug-12,83311,46909,6589,23782,5394
14-Aug-12,629424,46147,6547,25352,5326
15-Aug-12,617700,44683,6460,25008,5259
16-Aug-12,605783,43382,6398,24717,5179
17-Aug-12,594875,40260,6368,24216,5092
18-Aug-12,586440,41325,6313,23912,5029
19-Aug-12,577873,40481,6274,23667,4964
20-Aug-12,568303,39238,6145,23314,4902
21-Aug-12,555910,38109,5982,22896,4792
22-Aug-12,544704,37051,5793,22463,4727
23-Aug-12,532373,36001,5513,22008,4621
24-Aug-12,519550,34709,5134,21247,4517
25-Aug-12,508820,33780,4810,20732,4456
26-Aug-12,497575,32948,4437,19986,4400
27-Aug-12,485805,31825,4110,19665,4324
28-Aug-12,472951,29315,3814,19041,4132
29-Aug-12,453783,29230,3432,18194,4194
30-Aug-12,432535,26717,3148,17227,4077
31-Aug-12,402238,23709,2968,16072,3886
1-Sep-12,376398,23287,2855,15577,3808
2-Sep-12,374750,22141,2753,15055,3372
3-Sep-12,356363,21806,2546,14366,2991
4-Sep-12,334547,19554,2343,12889,2748
5-Sep-12,268168,16371,1840,10921,2112
6-Sep-12,453172,13510,1485,8758,1781
7-Sep-12,261547,11978,1031,5499,1141
8-Sep-12,223786,10193,872,4458,957
9-Sep-12,225579,8118,728,3675,681
10-Sep-12,230670,5452,541,2791,445
11-Sep-12,172688,3386,364,1702,275
12-Sep-12,91475,1820,190,993,136
13-Sep-12,91475,1820,191,991,136
