Date,Open,Low,High,Close,Volume,movAvg50,movAvg100,movAvg200
17-Nov-10,5.2,5.2,5.2,5.2,1,NaN,NaN,NaN
18-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
19-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
20-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
21-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
22-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
23-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
24-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
25-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
26-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
27-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
28-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
29-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
30-Nov-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
1-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
2-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
3-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
4-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
5-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
6-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
7-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
8-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
9-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
10-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
11-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
12-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
13-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
14-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
15-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
16-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
17-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
18-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
19-Dec-10,5.2,5.2,5.2,5.2,0,NaN,NaN,NaN
20-Dec-10,14,14,14,14,10,NaN,NaN,NaN
21-Dec-10,14,14,14,14,0,NaN,NaN,NaN
22-Dec-10,14,14,14,14,0,NaN,NaN,NaN
23-Dec-10,14,14,14,14,0,NaN,NaN,NaN
24-Dec-10,14,14,14,14,0,NaN,NaN,NaN
25-Dec-10,14,14,14,14,0,NaN,NaN,NaN
26-Dec-10,12.9,11,13.9,11,4,NaN,NaN,NaN
27-Dec-10,11,11,11,11,0,NaN,NaN,NaN
28-Dec-10,11,11,11,11,0,NaN,NaN,NaN
29-Dec-10,11,11,11,11,50,NaN,NaN,NaN
30-Dec-10,11,11,11,11,0,NaN,NaN,NaN
31-Dec-10,11,11,11,11,0,NaN,NaN,NaN
1-Jan-11,11,11,11,11,0,NaN,NaN,NaN
2-Jan-11,11,11,11,11,10,NaN,NaN,NaN
3-Jan-11,11,11,11,11,0,NaN,NaN,NaN
4-Jan-11,11,11,11,11,2,NaN,NaN,NaN
5-Jan-11,11,11,11,11,0,7.532,NaN,NaN
6-Jan-11,11,11,11,11,0,7.648,NaN,NaN
7-Jan-11,11,11,11,11,0,7.764,NaN,NaN
8-Jan-11,11,10.9,11,11,142,7.88,NaN,NaN
9-Jan-11,11,11,11,11,0,7.996,NaN,NaN
10-Jan-11,11,11,11,11,0,8.112,NaN,NaN
11-Jan-11,11,11,11,11,0,8.228,NaN,NaN
12-Jan-11,11,11,11,11,0,8.344,NaN,NaN
13-Jan-11,11,11,11,11,0,8.46,NaN,NaN
14-Jan-11,11,11,11,11,0,8.576,NaN,NaN
15-Jan-11,11,11,11,11,0,8.692,NaN,NaN
16-Jan-11,11,11,11,11,0,8.808,NaN,NaN
17-Jan-11,11,11,11,11,0,8.924,NaN,NaN
18-Jan-11,11,11,11,11,0,9.04,NaN,NaN
19-Jan-11,11,11,11,11,0,9.156,NaN,NaN
20-Jan-11,11,11,11,11,0,9.272,NaN,NaN
21-Jan-11,11,11,11,11,0,9.388,NaN,NaN
22-Jan-11,11,11,11,11,0,9.504,NaN,NaN
23-Jan-11,11,11,11,11,0,9.62,NaN,NaN
24-Jan-11,11,11,11,11,0,9.736,NaN,NaN
25-Jan-11,11.9,11,12,12,146,9.872,NaN,NaN
26-Jan-11,13,13,13,13,1,10.028,NaN,NaN
27-Jan-11,13,13,13,13,0,10.184,NaN,NaN
28-Jan-11,12,12,12,12,5,10.32,NaN,NaN
29-Jan-11,12,12,12,12,0,10.456,NaN,NaN
30-Jan-11,12,12,12,12,0,10.592,NaN,NaN
31-Jan-11,12,12,12,12,0,10.728,NaN,NaN
1-Feb-11,13,12.9,15,15,134,10.924,NaN,NaN
2-Feb-11,14,14,14,14,10,11.1,NaN,NaN
3-Feb-11,14,14,14,14,0,11.276,NaN,NaN
4-Feb-11,14,14,14,14,90,11.452,NaN,NaN
5-Feb-11,14,14,14,14,0,11.628,NaN,NaN
6-Feb-11,14,14,14,14,0,11.804,NaN,NaN
7-Feb-11,14,14,14,14,0,11.98,NaN,NaN
8-Feb-11,14,14,14,14,0,11.98,NaN,NaN
9-Feb-11,14,14,14,14,0,11.98,NaN,NaN
10-Feb-11,14,14,14,14,0,11.98,NaN,NaN
11-Feb-11,14,14,14,14,0,11.98,NaN,NaN
12-Feb-11,14,14,14,14,0,11.98,NaN,NaN
13-Feb-11,14,14,14,14,0,11.98,NaN,NaN
