Date,Close,Volume,movAvg50,movAvg100,movAvg200
18-Feb-12,28.5,272,37,33.118,27.8575
19-Feb-12,29.5,1833,36.83,33.067,27.9405
20-Feb-12,29,72,36.634,33.019,28.011
21-Feb-12,29.8,290,36.47,32.98,28.0855
22-Feb-12,29.5,1182,36.29,32.933,28.1585
23-Feb-12,31.1,1763,36.092,32.919,28.2395
24-Feb-12,30.3,721,35.898,32.911,28.3155
25-Feb-12,30.6,788,35.736,32.891,28.393
26-Feb-12,31.3,424,35.562,32.874,28.473
27-Feb-12,31.1,129,35.324,32.856,28.552
28-Feb-12,27.7,3644,35.072,32.815,28.6165
29-Feb-12,32,2268,34.892,32.82,28.7015
1-Mar-12,32,1058,34.674,32.824,28.7915
2-Mar-12,33.9,2577,34.496,32.848,28.89
3-Mar-12,34,1082,34.32,32.89,28.9895
4-Mar-12,34.9,1461,34.168,32.952,29.0965
5-Mar-12,35.3,1197,34.028,33.005,29.208
6-Mar-12,34.8,737,33.874,33.065,29.312
7-Mar-12,34.6,3394,33.702,33.151,29.4145
8-Mar-12,32.7,720,33.504,33.215,29.509
9-Mar-12,31.4,901,33.3,33.279,29.597
10-Mar-12,33,973,33.228,33.389,29.6915
11-Mar-12,33.9,260,33.266,33.518,29.796
12-Mar-12,34,70,33.332,33.638,29.897
13-Mar-12,35.6,1250,33.452,33.785,30.008
14-Mar-12,33.6,1528,33.534,33.904,30.1115
15-Mar-12,34.1,1591,33.684,34.018,30.2145
16-Mar-12,34.5,342,33.692,34.123,30.32
17-Mar-12,35.3,89,33.616,34.272,30.4295
18-Mar-12,36,303,33.552,34.412,30.5445
19-Mar-12,36.5,185,33.5,34.543,30.6615
20-Mar-12,36.3,162,33.426,34.696,30.7735
21-Mar-12,37.6,994,33.402,34.863,30.8925
22-Mar-12,38.4,1036,33.352,35.038,31.017
23-Mar-12,37.2,999,33.304,35.185,31.1355
24-Mar-12,37.3,650,33.262,35.313,31.253
25-Mar-12,37.3,302,33.236,35.386,31.37
26-Mar-12,37.5,1960,33.208,35.452,31.4735
27-Mar-12,37.3,2747,33.154,35.492,31.574
28-Mar-12,37.2,1108,33.146,35.537,31.675
29-Mar-12,37.2,1421,33.238,35.576,31.771
30-Mar-12,37,1131,33.32,35.616,31.869
31-Mar-12,37.2,849,33.422,35.635,31.9625
1-Apr-12,36.8,277,33.566,35.654,32.0495
2-Apr-12,36.4,610,33.636,35.669,32.1365
3-Apr-12,37.3,922,33.73,35.688,32.228
4-Apr-12,36.3,1359,33.872,35.714,32.312
5-Apr-12,37,1021,34.004,35.735,32.3995
6-Apr-12,37.1,1389,34.17,35.743,32.49
7-Apr-12,37.1,668,34.32,35.749,32.5785
8-Apr-12,37.3,386,34.496,35.748,32.666
9-Apr-12,37,275,34.646,35.738,32.756
10-Apr-12,37.1,208,34.808,35.721,32.832
11-Apr-12,37.5,3108,34.962,35.716,32.912
12-Apr-12,38.1,2648,35.134,35.712,32.9925
13-Apr-12,38.3,354,35.278,35.685,33.07
14-Apr-12,37.8,1026,35.428,35.663,33.144
15-Apr-12,37.7,552,35.57,35.653,33.218
16-Apr-12,35.2,1266,35.648,35.605,33.276
17-Apr-12,37.1,541,35.768,35.546,33.342
18-Apr-12,37.7,4369,35.968,35.52,33.4155
19-Apr-12,37.5,1475,36.078,35.485,33.488
