month,day,year,hour,Rnegative,Rpositive,Rprobability
9,13,2012,0,4,33,0.891891892
9,13,2012,1,4,31,0.885714286
9,13,2012,2,6,31,0.837837838
9,13,2012,3,5,46,0.901960784
9,13,2012,4,4,22,0.846153846
9,13,2012,5,1,30,0.967741935
9,13,2012,6,5,16,0.761904762
9,13,2012,9,1,4,0.8
9,13,2012,11,1,13,0.928571429
9,13,2012,12,2,12,0.857142857
9,13,2012,13,5,14,0.736842105
9,13,2012,14,3,18,0.857142857
9,13,2012,15,3,23,0.884615385
9,13,2012,16,3,16,0.842105263
9,13,2012,17,5,27,0.84375
9,13,2012,18,5,27,0.84375
9,13,2012,19,6,22,0.785714286
9,13,2012,20,9,18,0.666666667
9,13,2012,21,3,87,0.966666667
9,13,2012,22,3,32,0.914285714
9,13,2012,23,1,50,0.980392157
