Date, Romney, RomneyAbortion, RomneyEconomy, RomneyHealthcare
18-Feb-12,583724,7833,9738,3779
19-Feb-12,574920,7790,9741,3740
20-Feb-12,581324,8025,9860,3758
21-Feb-12,581479,7943,9724,3732
22-Feb-12,575794,8028,9459,3731
23-Feb-12,574015,8118,9571,3736
24-Feb-12,576014,8002,9602,3688
25-Feb-12,569936,7985,9511,3745
26-Feb-12,569062,8029,9702,3706
27-Feb-12,570811,7942,9511,3723
28-Feb-12,565248,7995,9490,3718
29-Feb-12,562600,8026,9672,3686
1-Mar-12,554638,8148,9417,3667
2-Mar-12,553583,8205,9467,3679
3-Mar-12,538297,8195,9601,3485
4-Mar-12,552810,8181,9376,3581
5-Mar-12,550009,8239,9375,3632
6-Mar-12,549611,8253,9412,3633
7-Mar-12,542298,8233,9331,3517
8-Mar-12,540997,8371,9445,3551
9-Mar-12,534272,8434,9299,3532
10-Mar-12,535374,8606,9160,3529
11-Mar-12,535045,8608,9307,3579
12-Mar-12,533939,8648,9318,3531
13-Mar-12,531882,8804,9317,3500
14-Mar-12,527170,8852,9138,3468
15-Mar-12,509200,8749,9120,3434
16-Mar-12,523953,8836,9099,3260
17-Mar-12,525420,8761,9288,3474
18-Mar-12,526700,8771,8846,3484
19-Mar-12,519983,8435,9206,3411
20-Mar-12,517548,8743,9203,3465
21-Mar-12,512832,8841,9126,3470
22-Mar-12,508509,9003,9066,3429
23-Mar-12,510995,8987,8993,3373
24-Mar-12,510120,9116,9085,3387
25-Mar-12,504704,9375,9073,3274
26-Mar-12,504913,9323,9022,3304
27-Mar-12,507304,9321,9022,3320
28-Mar-12,502382,9273,9033,3278
29-Mar-12,499029,9319,8943,3252
30-Mar-12,486611,9360,8829,3269
31-Mar-12,497299,9273,9029,3266
1-Apr-12,500095,9366,8939,3241
2-Apr-12,495647,9356,9104,3197
3-Apr-12,497105,9338,8625,3277
4-Apr-12,491347,9265,8800,3255
5-Apr-12,486674,9512,8842,3179
6-Apr-12,487755,9647,8986,3256
7-Apr-12,487862,9642,8880,3296
8-Apr-12,484116,9635,8788,3294
9-Apr-12,482778,9695,8368,3428
10-Apr-12,474934,9701,8622,3370
11-Apr-12,479794,9652,8612,3389
12-Apr-12,474542,9627,8813,3355
13-Apr-12,472365,9627,8605,3386
14-Apr-12,469371,9668,8663,3403
15-Apr-12,471341,9652,8654,3382
16-Apr-12,465066,9593,8519,3481
17-Apr-12,462380,9362,8501,3460
18-Apr-12,459434,9515,7978,3508
19-Apr-12,453652,9495,8119,3492
20-Apr-12,453573,9663,8222,3588
21-Apr-12,445290,9526,8071,3598
22-Apr-12,447743,9523,8469,3418
23-Apr-12,426447,9625,8281,3657
24-Apr-12,446176,9611,7949,3710
25-Apr-12,441757,9599,7773,3752
26-Apr-12,443363,9552,8168,3905
27-Apr-12,419831,9436,8150,3859
