month,day,year,hour,Rnegative,Rpositive,Rprobability,Onegative,Opositivve,Oprobability
9,13,2012,0,4,33,0.891891892,20,60,0.75
9,13,2012,1,4,31,0.885714286,22,70,0.760869565
9,13,2012,2,6,31,0.837837838,14,74,0.840909091
9,13,2012,3,5,46,0.901960784,10,53,0.841269841
9,13,2012,4,4,22,0.846153846,18,37,0.672727273
9,13,2012,5,1,30,0.967741935,22,40,0.64516129
9,13,2012,6,5,16,0.761904762,13,30,0.697674419
9,13,2012,9,1,4,0.8,3,10,0.769230769
9,13,2012,11,1,13,0.928571429,6,29,0.828571429
9,13,2012,12,2,12,0.857142857,10,31,0.756097561
9,13,2012,13,5,14,0.736842105,3,50,0.943396226
9,13,2012,14,3,18,0.857142857,9,36,0.8
9,13,2012,15,3,23,0.884615385,14,52,0.787878788
9,13,2012,16,3,16,0.842105263,9,46,0.836363636
9,13,2012,17,5,27,0.84375,18,50,0.735294118
9,13,2012,18,5,27,0.84375,18,58,0.763157895
9,13,2012,19,6,22,0.785714286,13,65,0.833333333
9,13,2012,20,9,18,0.666666667,8,52,0.866666667
9,13,2012,21,3,87,0.966666667,8,131,0.942446043
9,13,2012,22,3,32,0.914285714,6,62,0.911764706
9,13,2012,23,1,50,0.980392157,9,87,0.90625
