Date, Obama, ObamaCare, ObamaAbortion, ObamaEconomy, ObamaHealthcare, Romney, RomneyAbortion, RomneyEconomy, RomneyHealthcare
"Sep 13, 2012",91475,1820,191,991,136,53650,90,652,79
"Sep 12, 2012",91475,1820,190,993,136,53631,90,652,79
"Sep 11, 2012",172688,3386,364,1702,275,99649,159,1086,214
"Sep 10, 2012",230670,5452,541,2791,445,135264,290,1627,438
"Sep 09, 2012",225579,8118,728,3675,681,167845,466,2133,736
"Sep 08, 2012",223786,10193,872,4458,957,206007,598,2665,952
"Sep 07, 2012",261547,11978,1031,5499,1141,229338,720,3176,996
"Sep 06, 2012",453172,13510,1485,8758,1781,279876,948,4083,1129
"Sep 05, 2012",268168,16371,1840,10921,2112,168644,1100,4719,1219
"Sep 04, 2012",334547,19554,2343,12889,2748,193611,1441,5678,1372
"Sep 03, 2012",356363,21806,2546,14366,2991,208677,1582,7047,1441
"Sep 02, 2012",374750,22141,2753,15055,3372,217124,1695,7292,1479
"Sep 01, 2012",376398,23287,2855,15577,3808,225874,1789,7462,1444
"Aug 31, 2012",402238,23709,2968,16072,3886,239263,1923,7862,1577
"Aug 30, 2012",432535,26717,3148,17227,4077,289120,2296,8791,1775
"Aug 29, 2012",453783,29230,3432,18194,4194,308302,2561,9562,1851
"Aug 28, 2012",472951,29315,3814,19041,4132,341869,2970,10063,1952
"Aug 27, 2012",485805,31825,4110,19665,4324,354281,3542,10543,2016
"Aug 26, 2012",497575,32948,4437,19986,4400,365461,3988,10911,2099
"Aug 25, 2012",508820,33780,4810,20732,4456,373895,4366,11191,2181
"Aug 24, 2012",519550,34709,5134,21247,4517,383831,4659,11624,2224
"Aug 23, 2012",532373,36001,5513,22008,4621,393732,5755,11972,2305
"Aug 22, 2012",544704,37051,5793,22463,4727,408870,6387,12593,2358
"Aug 21, 2012",555910,38109,5982,22896,4792,417401,6935,12512,2408
"Aug 20, 2012",568303,39238,6145,23314,4902,418279,7359,12685,2423
"Aug 19, 2012",577873,40481,6274,23667,4964,430842,7697,13182,2455
"Aug 18, 2012",586440,41325,6313,23912,5029,428675,7836,13166,2503
"Aug 17, 2012",594875,40260,6368,24216,5092,441947,7851,13453,2541
"Aug 16, 2012",605783,43382,6398,24717,5179,451085,7985,13673,2617
"Aug 15, 2012",617700,44683,6460,25008,5259,461119,8037,13700,2560
"Aug 14, 2012",629424,46147,6547,25352,5326,471412,8103,13908,2764
"Aug 13, 2012",83311,46909,6589,23782,5394,155607,8156,13026,2831
"Aug 12, 2012",81324,47729,6613,24030,5358,160753,8100,13405,2709
"Aug 11, 2012",88971,48407,6653,23858,5396,165212,8224,13164,2868
"Aug 10, 2012",88556,46917,6686,22401,5421,176709,8154,12731,2939
"Aug 09, 2012",91511,49888,6730,21981,5481,181395,8268,12487,2999
"Aug 08, 2012",95446,50722,6754,21292,5528,185811,8292,12054,3079
"Aug 07, 2012",96775,51430,6494,20191,5587,189816,8213,11199,3126
"Aug 06, 2012",94832,51990,6830,17774,5613,194097,8230,9984,3140
"Aug 05, 2012",96589,52384,6875,17015,5636,197979,8341,9535,3124
"Aug 04, 2012",101349,52700,6678,14733,5519,199421,8135,8342,3163
"Aug 03, 2012",102148,53137,6910,13238,5712,201514,8352,7472,3183
"Aug 02, 2012",105806,53685,6946,11589,5719,207013,8247,6438,3218
"Aug 01, 2012",101123,54548,6964,9326,5761,209742,8278,4871,3230
"Jul 31, 2012",101438,53672,6997,7190,5771,214950,8309,3982,3291
"Jul 30, 2012",110748,56018,7026,6446,5825,219319,8318,3499,3389
"Jul 29, 2012",112355,54044,7049,6425,5882,219212,8331,3518,3430
"Jul 28, 2012",109392,57009,7076,6560,5865,226718,8341,3575,3444
"Jul 27, 2012",112954,57600,7134,6329,5935,229053,8121,3383,3457
"Jul 26, 2012",113888,58217,7166,6669,5918,235680,8377,3388,3458
"Jul 25, 2012",114757,57955,7215,6503,5957,238216,8484,3434,3486
"Jul 24, 2012",112463,59681,7242,6692,6030,241788,8417,3584,3502
"Jul 23, 2012",110399,60214,7264,7007,6029,247001,8466,3728,3512
"Jul 22, 2012",119877,59809,7279,6824,6081,247787,8562,3766,3519
"Jul 21, 2012",122288,61056,7294,7202,6118,249044,8576,3529,3543
"Jul 20, 2012",122260,61413,7313,7272,6029,250913,8592,3809,3563
"Jul 19, 2012",120229,61973,7316,7261,6162,254486,8598,3833,3561
"Jul 18, 2012",119510,62707,7339,7663,6184,259556,8609,3836,3592
"Jul 17, 2012",132919,62506,7362,7728,6199,264467,8531,3889,3580
"Jul 16, 2012",130144,63320,7398,7839,6193,268423,8646,3889,3599
"Jul 15, 2012",132106,65276,7458,8110,6217,272666,8577,3887,3611
"Jul 14, 2012",132296,66188,7464,8129,6301,277030,8195,4223,3571
"Jul 13, 2012",140998,64167,7477,8329,6367,281502,8714,4287,3656
"Jul 12, 2012",141567,68607,7519,8490,6438,286608,8547,4324,3662
"Jul 11, 2012",141844,71463,7557,8611,6545,291174,8700,4356,3729
"Jul 10, 2012",142777,74519,7579,8688,6652,295221,8582,4490,3805
"Jul 09, 2012",138982,76692,7636,8710,6724,299187,8741,4465,3855
"Jul 08, 2012",145843,77247,7650,9175,6793,301526,8859,4529,3874
"Jul 07, 2012",145586,79745,7662,9348,6635,303546,8811,4536,3903
"Jul 06, 2012",148012,81224,7698,9481,6962,304130,8804,4472,3961
"Jul 05, 2012",149510,83466,7751,9408,7103,307850,8832,4780,4055
"Jul 04, 2012",150526,85676,7721,9764,7196,309040,8936,4736,4172
"Jul 03, 2012",150144,88132,7761,9886,7312,311738,8958,4687,4255
"Jul 02, 2012",154700,88310,7762,9685,7507,314652,9006,4956,4385
"Jul 01, 2012",154067,97179,7791,9536,7783,315644,8921,4686,4460
"Jun 30, 2012",155210,100492,7789,9596,7909,317274,8952,4827,4511
"Jun 29, 2012",158144,104308,7846,9725,8148,316806,8942,4876,4533
"Jun 28, 2012",159806,118539,7857,9867,8940,319539,8777,4818,4872
"Jun 27, 2012",154788,130436,7867,10187,10136,322025,9081,4969,5128
"Jun 26, 2012",169551,131564,7939,10125,10311,324051,9106,4900,5196
"Jun 25, 2012",159770,131759,7958,9635,10468,325239,9129,4710,5185
"Jun 24, 2012",160261,133037,7974,10152,10782,327718,9134,4844,5301
"Jun 23, 2012",165494,133639,7987,10149,10500,328509,9028,5077,5202
"Jun 22, 2012",169150,133831,7980,10382,10565,330436,9139,5138,5217
"Jun 21, 2012",169143,134629,8016,10377,10662,332508,9141,5175,5295
"Jun 20, 2012",172527,135436,8075,10382,10600,333812,9072,5270,5288
"Jun 19, 2012",170310,134922,8086,10652,10731,337554,9149,5239,5287
"Jun 18, 2012",172116,135249,8113,10966,10783,338845,9083,5283,5277
"Jun 17, 2012",177855,135883,8084,10867,10902,340870,9185,5368,5327
"Jun 16, 2012",179814,136193,8143,11211,10691,343449,9093,5412,5286
"Jun 15, 2012",173793,135874,8174,10619,10757,344182,9189,5439,5283
"Jun 14, 2012",181464,136059,8169,11251,10806,346537,9196,5369,5375
"Jun 13, 2012",180802,136580,8197,11933,10997,349615,9105,5775,5405
"Jun 12, 2012",187582,136375,8233,11914,10834,350384,9213,5588,5401
"Jun 11, 2012",185913,132928,8264,12436,10873,353768,9128,5855,5487
"Jun 10, 2012",193026,137404,8290,12280,10950,354105,9154,5974,5426
"Jun 09, 2012",186270,137704,8284,12421,10961,354102,9241,5969,5403
"Jun 08, 2012",190278,138077,8326,12591,10866,358268,8964,6097,5443
"Jun 07, 2012",200839,138567,8262,13936,10948,355734,9154,6119,5407
"Jun 06, 2012",199048,134559,8358,13679,10950,353821,9278,6290,5435
"Jun 05, 2012",196773,139334,8397,13852,11143,362579,9183,6170,5404
"Jun 04, 2012",197845,139086,8438,13999,10851,364090,9210,6211,5437
"Jun 03, 2012",201739,139126,8449,14398,11009,365846,9306,6250,5430
"Jun 02, 2012",203734,139286,8513,14061,11004,370100,9223,6423,5489
